========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 1426 words (Chuẩn: 16 + 256 + 1152 + 2 = 1426)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 0    | Hex: 8005FF17 | Flt: 0  | Pol: 1 | Thresh: 5     | W_9b: 100010111
Addr 1    | Hex: 8005FF70 | Flt: 1  | Pol: 1 | Thresh: 5     | W_9b: 101110000
Addr 2    | Hex: 8006FE28 | Flt: 2  | Pol: 1 | Thresh: 6     | W_9b: 000101000
Addr 3    | Hex: 8006FEF8 | Flt: 3  | Pol: 1 | Thresh: 6     | W_9b: 011111000
Addr 4    | Hex: 8005FEDF | Flt: 4  | Pol: 1 | Thresh: 5     | W_9b: 011011111
Addr 5    | Hex: 8006FECE | Flt: 5  | Pol: 1 | Thresh: 6     | W_9b: 011001110
Addr 6    | Hex: 8006FFD8 | Flt: 6  | Pol: 1 | Thresh: 6     | W_9b: 111011000
Addr 7    | Hex: 8006FFB7 | Flt: 7  | Pol: 1 | Thresh: 6     | W_9b: 110110111
Addr 8    | Hex: 8006FF75 | Flt: 8  | Pol: 1 | Thresh: 6     | W_9b: 101110101
Addr 9    | Hex: 8005FE1A | Flt: 9  | Pol: 1 | Thresh: 5     | W_9b: 000011010
Addr 10   | Hex: 8006FFF8 | Flt: 10 | Pol: 1 | Thresh: 6     | W_9b: 111111000
Addr 11   | Hex: 8005FFEB | Flt: 11 | Pol: 1 | Thresh: 5     | W_9b: 111101011
Addr 12   | Hex: 8006FFC0 | Flt: 12 | Pol: 1 | Thresh: 6     | W_9b: 111000000
Addr 13   | Hex: 8006FFE4 | Flt: 13 | Pol: 1 | Thresh: 6     | W_9b: 111100100
Addr 14   | Hex: 8005FEC2 | Flt: 14 | Pol: 1 | Thresh: 5     | W_9b: 011000010
Addr 15   | Hex: 8006FFF7 | Flt: 15 | Pol: 1 | Thresh: 6     | W_9b: 111110111

--- LỚP CONV2 (16 Filters x 16 Channels, Dual Threshold) ---
Addr 16   | Hex: 0000FF41 | Flt: 0  Ch: 0  | (No Threshold)                | W_9b: 101000001
Addr 17   | Hex: 0000FF90 | Flt: 0  Ch: 1  | (No Threshold)                | W_9b: 110010000
Addr 18   | Hex: 0000FF48 | Flt: 0  Ch: 2  | (No Threshold)                | W_9b: 101001000
Addr 19   | Hex: 0000FEF5 | Flt: 0  Ch: 3  | (No Threshold)                | W_9b: 011110101
Addr 20   | Hex: 0000FEB6 | Flt: 0  Ch: 4  | (No Threshold)                | W_9b: 010110110
Addr 21   | Hex: 0000FF3C | Flt: 0  Ch: 5  | (No Threshold)                | W_9b: 100111100
Addr 22   | Hex: 0000FFF4 | Flt: 0  Ch: 6  | (No Threshold)                | W_9b: 111110100
Addr 23   | Hex: 0000FFB8 | Flt: 0  Ch: 7  | (No Threshold)                | W_9b: 110111000
Addr 24   | Hex: 0000FEF2 | Flt: 0  Ch: 8  | (No Threshold)                | W_9b: 011110010
Addr 25   | Hex: 0000FE60 | Flt: 0  Ch: 9  | (No Threshold)                | W_9b: 001100000
Addr 26   | Hex: 0000FF92 | Flt: 0  Ch: 10 | (No Threshold)                | W_9b: 110010010
Addr 27   | Hex: 0000FFE6 | Flt: 0  Ch: 11 | (No Threshold)                | W_9b: 111100110
Addr 28   | Hex: 0000FE88 | Flt: 0  Ch: 12 | (No Threshold)                | W_9b: 010001000
Addr 29   | Hex: 0000FEC8 | Flt: 0  Ch: 13 | (No Threshold)                | W_9b: 011001000
Addr 30   | Hex: 0000FEE8 | Flt: 0  Ch: 14 | (No Threshold)                | W_9b: 011101000
Addr 31   | Hex: 514481F0 | Flt: 0  Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 81  | W_9b: 111110000
Addr 32   | Hex: 0000FF93 | Flt: 1  Ch: 0  | (No Threshold)                | W_9b: 110010011
Addr 33   | Hex: 0000FE00 | Flt: 1  Ch: 1  | (No Threshold)                | W_9b: 000000000
Addr 34   | Hex: 0000FEDB | Flt: 1  Ch: 2  | (No Threshold)                | W_9b: 011011011
Addr 35   | Hex: 0000FE3C | Flt: 1  Ch: 3  | (No Threshold)                | W_9b: 000111100
Addr 36   | Hex: 0000FF21 | Flt: 1  Ch: 4  | (No Threshold)                | W_9b: 100100001
Addr 37   | Hex: 0000FF0B | Flt: 1  Ch: 5  | (No Threshold)                | W_9b: 100001011
Addr 38   | Hex: 0000FF96 | Flt: 1  Ch: 6  | (No Threshold)                | W_9b: 110010110
Addr 39   | Hex: 0000FF03 | Flt: 1  Ch: 7  | (No Threshold)                | W_9b: 100000011
Addr 40   | Hex: 0000FF93 | Flt: 1  Ch: 8  | (No Threshold)                | W_9b: 110010011
Addr 41   | Hex: 0000FE8F | Flt: 1  Ch: 9  | (No Threshold)                | W_9b: 010001111
Addr 42   | Hex: 0000FF3C | Flt: 1  Ch: 10 | (No Threshold)                | W_9b: 100111100
Addr 43   | Hex: 0000FFB6 | Flt: 1  Ch: 11 | (No Threshold)                | W_9b: 110110110
Addr 44   | Hex: 0000FEBD | Flt: 1  Ch: 12 | (No Threshold)                | W_9b: 010111101
Addr 45   | Hex: 0000FE0F | Flt: 1  Ch: 13 | (No Threshold)                | W_9b: 000001111
Addr 46   | Hex: 0000FE9E | Flt: 1  Ch: 14 | (No Threshold)                | W_9b: 010011110
Addr 47   | Hex: 4E468187 | Flt: 1  Ch: 15 | Pol: 1 | Pos_Th: 70  | Neg_Th: 78  | W_9b: 110000111
