========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 2580 words (Chuẩn: 16 + 256 + 2304 + 4 = 2580)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 0    | Hex: 8005FE6B | Flt: 0  | Pol: 1 | Thresh: 5     | W_9b: 001101011
Addr 1    | Hex: 8005FF26 | Flt: 1  | Pol: 1 | Thresh: 5     | W_9b: 100100110
Addr 2    | Hex: 8006FFD3 | Flt: 2  | Pol: 1 | Thresh: 6     | W_9b: 111010011
Addr 3    | Hex: 8006FFC2 | Flt: 3  | Pol: 1 | Thresh: 6     | W_9b: 111000010
Addr 4    | Hex: 8006FFE8 | Flt: 4  | Pol: 1 | Thresh: 6     | W_9b: 111101000
Addr 5    | Hex: 8006FFD8 | Flt: 5  | Pol: 1 | Thresh: 6     | W_9b: 111011000
Addr 6    | Hex: 8006FEFF | Flt: 6  | Pol: 1 | Thresh: 6     | W_9b: 011111111
Addr 7    | Hex: 8006FF3F | Flt: 7  | Pol: 1 | Thresh: 6     | W_9b: 100111111
Addr 8    | Hex: 8006FFDB | Flt: 8  | Pol: 1 | Thresh: 6     | W_9b: 111011011
Addr 9    | Hex: 8005FF7A | Flt: 9  | Pol: 1 | Thresh: 5     | W_9b: 101111010
Addr 10   | Hex: 8006FF00 | Flt: 10 | Pol: 1 | Thresh: 6     | W_9b: 100000000
Addr 11   | Hex: 8005FE5F | Flt: 11 | Pol: 1 | Thresh: 5     | W_9b: 001011111
Addr 12   | Hex: 8006FEC4 | Flt: 12 | Pol: 1 | Thresh: 6     | W_9b: 011000100
Addr 13   | Hex: 8005FF4C | Flt: 13 | Pol: 1 | Thresh: 5     | W_9b: 101001100
Addr 14   | Hex: 8005FEC8 | Flt: 14 | Pol: 1 | Thresh: 5     | W_9b: 011001000
Addr 15   | Hex: 8005FF48 | Flt: 15 | Pol: 1 | Thresh: 5     | W_9b: 101001000

--- LỚP CONV2 (16 Filters x 16 Channels, Dual Threshold) ---
Addr 16   | Hex: 0000FEC3 | Flt: 0  Ch: 0  | (No Threshold)                | W_9b: 011000011
Addr 17   | Hex: 0000FF29 | Flt: 0  Ch: 1  | (No Threshold)                | W_9b: 100101001
Addr 18   | Hex: 0000FFC1 | Flt: 0  Ch: 2  | (No Threshold)                | W_9b: 111000001
Addr 19   | Hex: 0000FE5F | Flt: 0  Ch: 3  | (No Threshold)                | W_9b: 001011111
Addr 20   | Hex: 0000FE47 | Flt: 0  Ch: 4  | (No Threshold)                | W_9b: 001000111
Addr 21   | Hex: 0000FFC5 | Flt: 0  Ch: 5  | (No Threshold)                | W_9b: 111000101
Addr 22   | Hex: 0000FE49 | Flt: 0  Ch: 6  | (No Threshold)                | W_9b: 001001001
Addr 23   | Hex: 0000FE5F | Flt: 0  Ch: 7  | (No Threshold)                | W_9b: 001011111
Addr 24   | Hex: 0000FFC9 | Flt: 0  Ch: 8  | (No Threshold)                | W_9b: 111001001
Addr 25   | Hex: 0000FEDB | Flt: 0  Ch: 9  | (No Threshold)                | W_9b: 011011011
Addr 26   | Hex: 0000FE30 | Flt: 0  Ch: 10 | (No Threshold)                | W_9b: 000110000
Addr 27   | Hex: 0000FEDB | Flt: 0  Ch: 11 | (No Threshold)                | W_9b: 011011011
Addr 28   | Hex: 0000FEAD | Flt: 0  Ch: 12 | (No Threshold)                | W_9b: 010101101
Addr 29   | Hex: 0000FE40 | Flt: 0  Ch: 13 | (No Threshold)                | W_9b: 001000000
Addr 30   | Hex: 0000FE26 | Flt: 0  Ch: 14 | (No Threshold)                | W_9b: 000100110
Addr 31   | Hex: 514280A6 | Flt: 0  Ch: 15 | Pol: 1 | Pos_Th: 66  | Neg_Th: 81  | W_9b: 010100110
Addr 32   | Hex: 0000FFA4 | Flt: 1  Ch: 0  | (No Threshold)                | W_9b: 110100100
Addr 33   | Hex: 0000FE00 | Flt: 1  Ch: 1  | (No Threshold)                | W_9b: 000000000
Addr 34   | Hex: 0000FF22 | Flt: 1  Ch: 2  | (No Threshold)                | W_9b: 100100010
Addr 35   | Hex: 0000FEFB | Flt: 1  Ch: 3  | (No Threshold)                | W_9b: 011111011
